name,address,lon,lat
Daisy's Cocktail Garden,"180 10th Ave, Manhattan, NY",-74.004535,40.7459937
Bathtub Gin,"132 9th Ave, Manhattan, NY",-74.0032074,40.7435859
Kyma,"15 W 18th S, Manhattan, NY",-73.9928051,40.7391382
Salinas,"136 9th Ave, Manhattan, NY",-74.0030697,40.7436822
USHIWAKAMARU,"362 W 23RD St, Manhattan, NY",-74.0010259,40.746139
Rasa,"25 W 8th St, Manhattan, NY",-73.9976651,40.732936
Da Andrea,"35 W 13th St, Manhattan, NY",-73.9958123,40.7362477
Chelsea Square Restaurant,"368 W 23rd St, Manhattan, NY",-74.0012555,40.7462101
Tia Pol,"205 10th Ave, Manhattan, NY",-74.004801,40.7473
Westside Tavern,"360 W 23rd St, Manhattan, NY",-74.0009341,40.7461259
North Square Restaurant,"103 Waverly Place, Manhattan, NY",-73.998692,40.7325
Bareburger,"184 8th Ave, Manhattan, NY",-73.9998367,40.7429581
Westville,"246 W 18th St, Manhattan, NY",-74.0000778,40.7417647
AMELIE,"22 W 8th St, Manhattan, NY",-73.9976785,40.7326534
Worthwild,"156 9th Ave, Manhattan, NY",-74.0026028,40.744242
Creamline,"75 9th Ave, Manhattan, NY",-74.0059581,40.7424509
Barcade,"148 W 24th St, Manhattan, NY",-73.9945086,40.7442492
Le Baratin,"26 Greenwich Ave, Manhattan, NY",-73.9999671,40.7349805
Cafeteria,"119 7th Ave, Manhattan, NY",-73.9980333,40.7404954
Shiraz Kitchen,"111 W 17th St, Manhattan, NY",-73.9959804,40.7397484
Juban,"207 10th Ave, Manhattan, NY",-74.004704,40.7473276
Starbucks Reserve Roastery,"61 9th Ave, Manhattan, NY",-74.0056597,40.7416944
SOTTO 13,"140 W 13th St, Manhattan, NY",-73.9991866,40.737225
Pad Thai Noodle Lounge,"114 8th Ave, Manhattan, NY",-74.0014362,40.7408255
Don Giovanni,"214 10th Ave, Manhattan, NY",-74.0041907,40.7473153
Boqueria,"53 W 19th St, Manhattan, NY",-73.9937306,40.740279
Brine,"106 8th Ave, Manhattan, NY",-74.0016657,40.7405878
Dim Sum Chelsea,"236 8th Ave, Manhattan, NY",-73.998629,40.7446121
Salam Restaurant,"104 W 13th St, Manhattan, NY",-73.9979586,40.7367323
Tequila Chitos Mexican Bar & Grill,"358 W 23rd St, Manhattan, NY",-74.0008882,40.7460422
Grace's,"252 W 14th St, Manhattan, NY",-74.0022281,40.7394032
Greenwich Treehouse,"46 Greenwich Ave, Manhattan, NY",-74.000277,40.7356133
Los Mariscos,"409 W 15th St, Manhattan, NY",-74.0056454,40.7420723
Grand Sichuan Eastern,"172 8th Ave, Manhattan, NY",-74.0002032,40.7425407
Ootoya Japanese Restaurant,"8 W 18th St, Manhattan, NY",-73.9927981,40.7388278
Da Umberto,"107 W 17th St, Manhattan, NY",-73.995827,40.739672
Cookshop,"156 10th Ave, Manhattan, NY",-74.0054833,40.745519
La Contenta Oeste,"78 W 11th St, Manhattan, NY",-73.9980504,40.7351431
Artichoke Basille's Pizza,"457 W 17th St, Manhattan, NY",-74.006341,40.7439805
Coppelia,"207 W 14th St, Manhattan, NY",-73.9999532,40.7389823
Qanoon,"180 9th Ave, Manhattan, NY",-74.0019905,40.7452323
Dallas BBQ,"261 8th Ave, Manhattan, NY",-73.9985503,40.7455938
Mojo Omakase,"177 9th Ave, Manhattan, NY",-74.0027927,40.7450569
Jack's Wife Freda,"116 8th Ave, Manhattan, NY",-73.9550821,40.8045291
Coopers Craft and Kitchen,"169 8th Ave, Manhattan, NY",-74.0007595,40.7427021
Catch Steak,"88 Ninth Ave, Manhattan, NY",-74.0040829,40.7423522
Elmo Restaurant,"156 7th Ave, Manhattan, NY",-73.9975642,40.7419989
South of the Clouds,"16 W 8th St, Manhattan, NY",-73.9974629,40.7325844
Wicked Jane,"15 W 8th St, Manhattan, NY",-73.9972942,40.7327719
Maki Kosaka,"55 W 19th St, Manhattan, NY",-73.9938224,40.7402921
Oak Tuscan Truffle Lounge,"28 Greenwich Ave, Manhattan, NY",-73.9998753,40.7350833
City Winery New York,"25 11th Ave, Manhattan, NY",-74.0090631,40.743058
Zia Maria,"318 W 23RD ST, Manhattan, NY",-73.9993382,40.7454027
E.A.K. Ramen,"469 Ave of the Americas, Manhattan, NY",-73.9983201,40.7356806
Tacos Guey,"37 W 19th St, Manhattan, NY",-73.9931796,40.7400465
Peter McManus Cafe,"152 7th Ave, Manhattan, NY",-73.997653,40.741859
Cafe-Flor,"218 8th Ave, Manhattan, NY",-73.9991091,40.7440349
Champignon,"200 7th Ave, Manhattan, NY",-73.9966387,40.7432528
AYADA THAI,"75 9th Ave, Manhattan, NY",-74.0059581,40.7424509
Arts and Crafts Beer Parlor,"26 W 8th St, Manhattan, NY",-73.997807,40.7327311
Calle Dao Chelsea,"461 W 23rd St, Manhattan, NY",-74.0035248,40.7476544
CHARM'S,"200 8th Ave, Manhattan, NY",-73.9995027,40.7434814
La Devozione,"75 9th Ave, Manhattan, NY",-74.0059581,40.7424509
Shu Han Ju,"465 6th Ave, Manhattan, NY",-73.9984505,40.7356007
Lamano Wine Bar,"265 W 20th ST, Manhattan, NY",-73.9995142,40.7434155
Elephant & Castle,"68 Greenwich Ave, Manhattan, NY",-74.0006902,40.7362317
Flex Mussels,"154 W 13th St, Manhattan, NY",-73.9997031,40.7373851
BoCaphe,"104 8th Ave, Manhattan, NY",-74.0016198,40.740504
Shaffer's,"151 8th Ave, Manhattan, NY",-74.0011048,40.7420634
Le Baratin,"26 Greenwich Ave, Manhattan, NY",-73.9999671,40.7349805
Counter and Bodega,"216 7th Ave, Manhattan, NY",-73.9962761,40.7438248
Mexicue,"160 Eighth Ave, Manhattan, NY",-74.0004666,40.7420291
Thai Sliders,"150 8th Ave, Manhattan, NY",-74.0007476,40.7418088
The Happiest Hour,"121 W 10th St, Manhattan, NY",-73.9997156,40.7348213
CHELSEA HOTEL,"226 W 23rd St, Manhattan, NY",-73.9969304,40.7445548
Marian’s,"24 Greenwich Ave, Manhattan, NY",-73.9998638,40.7349369
Burger and Lobster,"39 W 19th St, Manhattan, NY",-73.9933563,40.7400574
Rosemary's,"18 Greenwich Ave, Manhattan, NY",-73.9996717,40.7348852
Scampi,"30 W 18th St, Manhattan, NY",-73.9934938,40.7390428
Pastai,"186 9th Ave, Manhattan, NY",-74.0018528,40.7454058
Umami Sushi,"50 Greenwich Ave, Manhattan, NY",-74.0003132,40.7357333
Portale Restaurant,"126 W 18th St, Manhattan, NY",-73.9962684,40.7402084
La Nacional,"239 W 14th St, Manhattan, NY",-74.0011583,40.7394903
Claudette,"24 Fifth Ave, Manhattan, NY",-73.9962714,40.7332403
The Canuck,"202 9th Ave, Manhattan, NY",-74.0014391,40.7459659
The Crooked Knife,"232 W 14th St, Manhattan, NY",-74.0014362,40.7390496
Fonda,"189 9th Ave, Manhattan, NY",-74.0023376,40.7455599
The Grey Dog,"242 W 16th St, Manhattan, NY",-74.0007266,40.740503
Temerario,"198 8th Ave, Manhattan, NY",-73.9995674,40.7435091
ZiZi,"182 8th Ave, Manhattan, NY",-73.9999607,40.7429063
Society Cafe,"52 W 13th St, Manhattan, NY",-73.9966616,40.7361334
Ayada Thai,"75 9th Ave, Manhattan, NY",-74.0059581,40.7424509
Oramen,"579 6th Ave , Manhattan, NY",-73.9959807,40.7390148
Le Zie 2000,"172 7th Ave, Manhattan, NY",-73.997081,40.74253
Vinyl Steakhouse,"35 W 19th St, Manhattan, NY",-73.9930878,40.7400335
The Hawthorn,"505 W 23rd St, Manhattan, NY",-74.0043708,40.7479939
HALL,"17 W 20th St, Manhattan, NY",-73.9921624,40.7403982
Gym Sportsbar,"167 8th Ave, Manhattan, NY",-74.0007861,40.7426413
Yakiniku Futago,"37 W 17th St, Manhattan, NY",-73.9940906,40.7388959
Umami Sushi,"50 Greenwich Ave, Manhattan, NY",-74.0003132,40.7357333
Loring Place,"21 W 8th St, Manhattan, NY",-73.9974616,40.732976
Auntie Guan's Kitchen 108,"108 W 14th St, Manhattan, NY",-73.9975339,40.7374539
The Lobster Place,"448 W 16th St, Manhattan, NY",-74.0065296,40.7428983
Motel Morris,"132 7th Ave, Manhattan, NY",-73.9981634,40.7410187
Le Singe Vert,"160 7th Ave , Manhattan, NY",-73.9998285,40.7387705
South of the Cloud,"16 W 8th St, Manhattan, NY",-73.9974629,40.7325844
Buddakan,"75 9th Ave, Manhattan, NY",-74.0059581,40.7424509
Pepe Giallo,"195 10th Ave, Manhattan, NY",-74.0050222,40.7469042
Counter & Bodega,"266 W 23rd St, Manhattan, NY",-73.9982347,40.7449689
North Square,"103 Waverly Place, Manhattan, NY",-73.998692,40.7325
Flannerys Bar,"205 W 14th St, Manhattan, NY",-73.9998818,40.7389356
Merchants NY,"190 7th Ave, Manhattan, NY",-73.996618,40.743061
Jungle Bird,"174 8th Ave, Manhattan, NY",-74.0001688,40.7426045
Tea & Sympathy,"108 Greenwich Ave, Manhattan, NY",-74.0019068,40.7383152
Beer Run,"203 W 19th St, Manhattan, NY",-73.9977429,40.7419271
Starbucks Reserve,"1 7th Ave, Manhattan, NY",-74.0005041,40.7364913
Osteria 57,"57 W 10th St, Manhattan, NY",-73.9978553,40.7346811
SUSHI SEKI,"208 W 23rd St, Manhattan, NY",-73.9964368,40.74406
Kubeh,"464 Ave of the Americas, Manhattan, NY",-73.9980051,40.7354689
Bodega Negra,"355 W 16th St, Manhattan, NY",-74.0034791,40.7423311
Umami Sushi,"50 Greenwich Ave, Manhattan, NY",-74.0003132,40.7357333
LOULOU,"176 8th Ave, Manhattan, NY",-74.0000524,40.74262
Pastis,"52 Gansevoort St, Manhattan, NY",-74.007014,40.7392418
Sushi Teru,"615 1/2 Hudson St, Manhattan, NY",-74.0059352,40.7379114
Agave,"140 7th Ave South, Manhattan, NY",-74.0024061,40.734755
Little Owl,"90 Bedford St, Manhattan, NY",-74.0053204,40.7323474
Dos Caminos & Troy Liquor Bar,"675 Hudson St, Manhattan, NY",-74.0054362,40.7404411
Hao Noodle,"343 W 14th St, Manhattan, NY",-74.0043317,40.7407413
The Stonewall Inn,"53 Christopher St, Manhattan, NY",-74.0021707,40.7338644
The Four-Faced Liar,"165 W 4th St, Manhattan, NY",-74.0012985,40.7322349
Petite Boucherie,"14 Christopher St, Manhattan, NY",-74.0004287,40.7338319
Cowgirl,"519 Hudson ST, Manhattan, NY",-74.0058279,40.7356258
B'artusi,"520 Hudson St, Manhattan, NY",-74.0059699,40.7338776
Via Porta,"522 Hudson St, Manhattan, NY",-74.0060337,40.7339688
Tue Thai Food,"3 Greenwich Ave, Manhattan, NY",-73.9998553,40.7338521
Tacombi,"255 Bleecker St, Manhattan, NY",-74.0027561,40.7310998
Lelabar,"422 Hudson St, Manhattan, NY",-74.0065664,40.730385
The Village Tavern,"46 Bedford St, Manhattan, NY",-74.0041563,40.730584
White Horse Tavern,"567 Hudson St, Manhattan, NY",-74.0061649,40.735719
Jekyll and Hyde,"91 seventh Ave south, Manhattan, NY",-74.0029512,40.7327781
Sushi on Jones,"210 W 10th St, Manhattan, NY",-74.0041448,40.7339126
Hao Noodle,"343 WEST 14th St, Manhattan, NY",-74.0043317,40.7407413
Oppa Bistro,"162 W 4th St, Manhattan, NY",-74.0013903,40.7318232
Little Branch,"20 7th Ave South, Manhattan, NY",-74.0050449,40.730118
The Otheroom,"143 Perry St, Manhattan, NY",-74.0080519,40.7349742
The Waverly Inn,"16 Bank St, Manhattan, NY",-74.0022657,40.7369054
The Elk,"128 Charles St, Manhattan, NY",-74.0074103,40.7341502
Henrietta Hudson,"438 Hudson St, Manhattan, NY",-74.0064631,40.731133
St Tropez Wine Bar,"304 W 4th St, Manhattan, NY",-74.0039038,40.737054
I Love Panzerotti,"220 Varick St, Manhattan, NY",-74.0050212,40.7290116
