"name","address","lon","lat"
"Cotenna","21 Bedford Street, Manhattan, NY",-74.0036513,40.7290065
"Urban Vegan Kitchen","41 Carmine St, Manhattan, NY",-74.0036822,40.7301946
"Daily Provisions","29 BEDFORD STREET, Manhattan, NY",-74.0037316,40.7292206
"Le Gigot","18 Cornelia Street, Manhattan, NY",-74.001914,40.7313345
"The Monster","80 Grove Street, Manhattan, NY",-74.0023353,40.7333573
"Cocu Rotisserie","26 CARMINE STREET, Manhattan, NY",-74.0026811,40.7300459
"Houston Hall","222 WEST HOUSTON STREET, Manhattan, NY",-74.0047186,40.7288006
"Market Table","54 CARMINE STREET, Manhattan, NY",-74.003701,40.729717
"Sabor Argentino","57 7th AVENUE SOUTH, Manhattan, NY",-74.0037161,40.7316564
"Meme Mediterranean","581 Hudson Street, Manhattan, NY",-74.006155,40.736362
"Boucherie West Village","99 7th Avenue, Manhattan, NY",-73.9966875,40.7423807
"Don Angie","103 Greenwich Avenue, Manhattan, NY",-74.002053,40.7378068
"Osteria Carlina","455 HUDSON STREET, Manhattan, NY",-74.006992,40.731408
"Nami Nori","33 Carmine St, Manhattan, NY",-74.0032496,40.7302914
"Bleecker Street Pizza","69 7th Ave South, Manhattan, NY",-74.0034045,40.7322005
"Cafe Luna","628 HUDSON STREET, Manhattan, NY",-74.0053786,40.7383306
"Red Paper Clip","120 Christopher St, Manhattan, NY",-74.0055679,40.7330332
"Nat's on Bank","51 BANK STREET, Manhattan, NY",-74.0038923,40.7369462
"Sogno Toscano","17 PERRY STREET, Manhattan, NY",-74.0019207,40.7358738
"High Street on Hudson","637 Hudson Street, Manhattan, NY",-74.0057401,40.7388972
"Oscar's Place","466 Hudson St, Manhattan, NY",-74.00639,40.731794
"Hao Noodle and Tea","401 Avenue of the Americas, Manhattan, NY",-74.000013,40.7335199
"Empellon Taqueria","230 West 4th Street, Manhattan, NY",-74.0030683,40.734142
"Bell Book & Candle","141 W 10th St, Manhattan, NY",-74.0008911,40.734693
"Turks & Frogs","323 West 11th St, Manhattan, NY",-74.0074023,40.7358481
"Tio Pepe Restaurant","168 West 4th Street, Manhattan, NY",-74.0016583,40.7319679
"Balaboosta","611 Hudson St, Manhattan, NY",-74.0058893,40.7376733
"Bar Pisellino","100 7th Ave S, Manhattan, NY",-74.0034275,40.7329801
"Tavern On Jane","31 8th AVENUE, Manhattan, NY",-74.0042883,40.7382629
"The Standard Grill","848 Washington Street, Manhattan, NY",-74.0081158,40.7409422
"Top Thai Vintage","55 Carmine Street, Manhattan, NY",-74.0042366,40.7299486
"Poke Rice","162 WEST 4TH STREET, Manhattan, NY",-74.0013903,40.7318232
"Spunto NYC Thin Crust Pizza","9 7th Avenue South, Manhattan, NY",-74.0046982,40.729935
"Art Bar","52 8th Avenue, Manhattan, NY",-74.0035078,40.7384981
"Vin Sur Vingt","192 7 AVENUE SOUTH, Manhattan, NY",-74.0015123,40.7363455
"North Fork Restaurant","122 Christopher Street, Manhattan, NY",-74.0056771,40.7330757
"Pieces","8 Christopher St, Manhattan, NY",-74.0001048,40.7338418
"Temperance Wine Bar","38-40 CARMINE ST, Manhattan, NY",-74.0031643,40.7299287
"The Cubbyhole Bar","281 West 12th St, Manhattan, NY",-74.0037636,40.7376831
"Automatic Slim's","733 Washington Street, Manhattan, NY",-74.0080928,40.7363254
"Hudson Clearwater","447 Hudson Street, Manhattan, NY",-74.0069452,40.7311048
"Emily","35 Downing Street, Manhattan, NY",-74.0037767,40.7293862
"Employees Only","510 Hudson St, Manhattan, NY",-74.0061358,40.7334379
"Lola Taverna","210 6th Avenue, Manhattan, NY",-74.0030659,40.7271763
"Stafili Wine Cafe","796 GREENWICH STREET, Manhattan, NY",-74.0065965,40.7373928
"Wallse Restaurant","344 W 11th St, Manhattan, NY",-74.0082356,40.7354249
"CATCH","21 9th AVENUE, Manhattan, NY",-74.0060934,40.7402523
"Market Table","54 Carmine Street, Manhattan, NY",-74.003701,40.729717
